Zaman_s,Konum_km,Hiz_kmh,Ivme_ms2,Jerk_ms3,Kutle_Ton,Kuvvet_kN,Guc_kW,Disk_Sicaklik_C,Stres_MPa
781.600000000041,11.543704,39.4560000000001,-0.9,0,756.4,-665.271976576,-7291.38086327297,168.937261021425,525.271118469349
781.800000000041,11.54586,38.8080000000001,-0.9,0,756.4,-665.293068724,-7171.85928084473,169.115560498018,525.271118469349
782.000000000041,11.54798,38.1600000000001,-0.9,0,756.4,-665.3138116,-7052.32640296002,169.290879064577,525.271118469349
782.200000000041,11.550064,37.5120000000001,-0.9,0,756.4,-665.334205204,-6932.7824182257,169.463216485115,525.271118469349
782.400000000041,11.552112,36.8640000000001,-0.9,0,756.4,-665.354249536,-6813.22751524866,169.632572527829,525.271118469349
782.600000000041,11.554124,36.2160000000001,-0.9,0,756.4,-665.373944596,-6693.66188263578,169.798946965094,525.271118469349
782.800000000041,11.5561,35.5680000000001,-0.9,0,756.4,-665.393290384,-6574.08570899394,169.962339573463,525.271118469349
783.000000000041,11.55804,34.9200000000001,-0.9,0,756.4,-665.4122869,-6454.49918293002,170.122750133673,525.271118469349
783.200000000041,11.559944,34.2720000000001,-0.9,0,756.4,-665.430934144,-6334.9024930509,170.280178430639,525.271118469349
783.400000000041,11.561812,33.6240000000001,-0.9,0,756.4,-665.449232116,-6215.29582796346,170.434624253454,525.271118469349
783.600000000041,11.563644,32.9760000000001,-0.9,0,756.4,-665.467180816,-6095.67937627458,170.586087395394,525.271118469349
783.800000000041,11.56544,32.3280000000001,-0.9,0,756.4,-665.484780244,-5976.05332659114,170.734567653913,525.271118469349
784.000000000041,11.5672,31.6800000000001,-0.9,0,756.4,-665.5020304,-5856.41786752002,170.880064830643,525.271118469349
784.200000000041,11.568924,31.0320000000001,-0.9,0,756.4,-665.518931284,-5736.7731876681,171.022578731399,525.271118469349
784.400000000041,11.570612,30.3840000000001,-0.9,0,756.4,-665.535482896,-5617.11947564226,171.162109166173,525.271118469349
784.600000000041,11.572264,29.7360000000001,-0.9,0,756.4,-665.551685236,-5497.45692004938,171.298655949137,525.271118469349
784.800000000041,11.57388,29.0880000000001,-0.9,0,756.4,-665.567538304,-5377.78570949634,171.432218898641,525.271118469349
785.000000000041,11.57546,28.4400000000001,-0.9,0,756.4,-665.5830421,-5258.10603259002,171.562797837216,525.271118469349
785.200000000042,11.577004,27.7920000000001,-0.9,0,756.4,-665.598196624,-5138.4180779373,171.690392591572,525.271118469349
785.400000000042,11.578512,27.1440000000001,-0.9,0,756.4,-665.613001876,-5018.72203414506,171.815002992597,525.271118469349
785.600000000042,11.579984,26.4960000000001,-0.9,0,756.4,-665.627457856,-4899.01808982018,171.936628875359,525.271118469349
785.800000000042,11.58142,25.8480000000001,-0.9,0,756.4,-665.641564564,-4779.30643356954,172.055270079103,525.271118469349
786.000000000042,11.58282,25.2000000000001,-0.9,0,756.4,-665.655322,-4659.58725400002,172.170926447256,525.271118469349
786.200000000042,11.584184,24.5520000000001,-0.9,0,756.4,-665.668730164,-4539.8607397185,172.283597827421,525.271118469349
786.400000000042,11.585512,23.9040000000001,-0.9,0,756.4,-665.681789056,-4420.12707933186,172.393284071382,525.271118469349
786.600000000042,11.586804,23.2560000000001,-0.9,0,756.4,-665.694498676,-4300.38646144698,172.4999850351,525.271118469349
786.800000000042,11.58806,22.6080000000001,-0.9,0,756.4,-665.706859024,-4180.63907467074,172.603700578714,525.271118469349
787.000000000042,11.58928,21.9600000000001,-0.9,0,756.4,-665.7188701,-4060.88510761002,172.704430566545,525.271118469349
787.200000000042,11.590464,21.3120000000001,-0.9,0,756.4,-665.730531904,-3941.1247488717,172.802174867088,525.271118469349
787.400000000042,11.591612,20.6640000000001,-0.9,0,756.4,-665.741844436,-3821.35818706266,172.896933353021,525.271118469349
787.600000000042,11.592724,20.0160000000001,-0.9,0,756.4,-665.752807696,-3701.58561078978,172.988705901196,525.271118469349
787.800000000042,11.5938,19.3680000000001,-0.9,0,756.4,-665.763421684,-3581.80720865994,173.077492392647,525.271118469349
788.000000000042,11.59484,18.7200000000001,-0.9,0,756.4,-665.7736864,-3462.02316928002,173.163292712584,525.271118469349
788.200000000042,11.595844,18.0720000000001,-0.9,0,756.4,-665.783601844,-3342.2336812569,173.246106750397,525.271118469349
788.400000000042,11.596812,17.4240000000001,-0.9,0,756.4,-665.793168016,-3222.43893319746,173.325934399652,525.271118469349
788.600000000042,11.597744,16.7760000000001,-0.9,0,756.4,-665.802384916,-3102.63911370858,173.402775558095,525.271118469349
788.800000000042,11.59864,16.1280000000001,-0.9,0,756.4,-665.811252544,-2982.83441139714,173.47663012765,525.271118469349
789.000000000042,11.5995,15.4800000000001,-0.9,0,756.4,-665.8197709,-2863.02501487002,173.547498014418,525.271118469349
789.200000000042,11.600324,14.8320000000001,-0.9,0,756.4,-665.827939984,-2743.2111127341,173.615379128679,525.271118469349
789.400000000042,11.601112,14.1840000000001,-0.9,0,756.4,-665.835759796,-2623.39289359626,173.680273384891,525.271118469349
789.600000000043,11.601864,13.5360000000001,-0.9,0,756.4,-665.843230336,-2503.57054606338,173.742180701689,525.271118469349
789.800000000043,11.60258,12.8880000000001,-0.9,0,756.4,-665.850351604,-2383.74425874234,173.801101001886,525.271118469349
790.000000000043,11.60326,12.2400000000001,-0.9,0,756.4,-665.8571236,-2263.91422024002,173.857034212474,525.271118469349
790.200000000043,11.603904,11.5920000000001,-0.9,0,756.4,-665.863546324,-2144.0806191633,173.909980264622,525.271118469349
790.400000000043,11.604512,10.9440000000001,-0.9,0,756.4,-665.869619776,-2024.24364411906,173.959939093678,525.271118469349
790.600000000043,11.605084,10.2960000000001,-0.9,0,756.4,-665.875343956,-1904.40348371418,174.006910639165,525.271118469349
790.800000000043,11.60562,9.64800000000012,-0.9,0,756.4,-665.880718864,-1784.56032655554,174.050894844787,525.271118469349
791.000000000043,11.60612,9.00000000000011,-0.9,0,756.4,-665.8857445,-1664.71436125002,174.091891658423,525.271118469349
791.200000000043,11.606584,8.35200000000011,-0.9,0,756.4,-665.890420864,-1544.8657764045,174.129901032131,525.271118469349
791.400000000043,11.607012,7.70400000000011,-0.9,0,756.4,-665.894747956,-1425.01476062586,174.164922922147,525.271118469349
791.600000000043,11.607404,7.05600000000011,-0.9,0,756.4,-665.898725776,-1305.16150252098,174.196957288884,525.271118469349
791.800000000043,11.60776,6.40800000000011,-0.9,0,756.4,-665.902354324,-1185.30619069674,174.226004096933,525.271118469349
792.000000000043,11.60808,5.76000000000011,-0.9,0,756.4,-665.9056336,-1065.44901376002,174.252063315061,525.271118469349
792.200000000043,11.608364,5.11200000000011,-0.9,0,756.4,-665.908563604,-945.590160317701,174.275134916214,525.271118469349
792.400000000043,11.608612,4.46400000000011,-0.9,0,756.4,-665.911144336,-825.729818976661,174.295218877517,525.271118469349
792.600000000043,11.608824,3.81600000000011,-0.9,0,756.4,-665.913375796,-705.868178343781,174.312315180268,525.271118469349
792.800000000043,11.609,3.16800000000011,-0.9,0,756.4,-665.915257984,-586.005427025941,174.326423809948,525.271118469349
793.000000000043,11.60914,2.52000000000011,-0.9,0,756.4,-665.9167909,-466.141753630021,174.33754475621,525.271118469349
793.200000000043,11.60914,0,0,0,756.4,0,0,174.337046964394,0
793.400000000043,11.60914,0,0,0,756.4,0,0,174.336549174238,0
