Konum_km,Hiz_kmh,Kutle_Ton,Cer_Kuvveti_kN,Direnc_kN,Egim_Yuzde
2.2792,90,624.25,15.616535,15.616535,0
2.2917,90,624.25,15.616535,15.616535,0
2.3042,90,624.25,15.616535,15.616535,0
2.3167,90,624.25,15.616535,15.616535,0
2.3292,90,624.25,15.616535,15.616535,0
2.3417,90,624.25,15.616535,15.616535,0
2.3542,90,624.25,15.616535,15.616535,0
2.3667,90,624.25,15.616535,15.616535,0
2.3792,90,624.25,15.616535,15.616535,0
2.3917,90,624.25,15.616535,15.616535,0
2.4042,90,624.25,15.616535,15.616535,0
2.4167,90,624.25,15.616535,15.616535,0
2.4292,90,624.25,15.616535,15.616535,0
2.4417,90,624.25,15.616535,15.616535,0
2.4542,90,624.25,15.616535,15.616535,0
2.4667,90,624.25,15.616535,15.616535,0
2.4792,90,624.25,15.616535,15.616535,0
2.4917,90,624.25,15.616535,15.616535,0
2.5042,90,624.25,15.616535,15.616535,0
2.5167,90,624.25,15.616535,15.616535,0
2.5292,90,624.25,15.616535,15.616535,0
2.5417,90,624.25,15.616535,15.616535,0
2.5542,90,624.25,15.616535,15.616535,0
2.5667,90,624.25,15.616535,15.616535,0
2.5792,90,624.25,15.616535,15.616535,0
2.5917,90,624.25,15.616535,15.616535,0
2.6042,90,624.25,15.616535,15.616535,0
2.6167,90,624.25,15.616535,15.616535,0
2.6292,90,624.25,15.616535,15.616535,0
2.6417,90,624.25,15.616535,15.616535,0
2.6542,90,624.25,15.616535,15.616535,0
2.6667,90,624.25,15.616535,15.616535,0
2.6792,90,624.25,15.616535,15.616535,0
2.6917,90,624.25,15.616535,15.616535,0
2.7042,90,624.25,15.616535,15.616535,0
2.7167,90,624.25,15.616535,15.616535,0
2.7292,90,624.25,15.616535,15.616535,0
2.7417,90,624.25,15.616535,15.616535,0
2.7542,90,624.25,15.616535,15.616535,0
2.7667,90,624.25,15.616535,15.616535,0
2.7792,90,624.25,15.616535,15.616535,0
2.7917,90,624.25,15.616535,15.616535,0
2.8042,90,624.25,15.616535,15.616535,0
2.8167,90,624.25,15.616535,15.616535,0
2.8292,90,624.25,15.616535,15.616535,0
2.8417,90,624.25,15.616535,15.616535,0
2.8542,90,624.25,15.616535,15.616535,0
2.8667,90,624.25,15.616535,15.616535,0
2.8792,90,624.25,15.616535,15.616535,0
2.8917,90,624.25,15.616535,15.616535,0
2.9042,90,624.25,15.616535,15.616535,0
2.9167,90,624.25,15.616535,15.616535,0
2.9292,90,624.25,15.616535,15.616535,0
2.9417,90,624.25,15.616535,15.616535,0
2.9542,90,624.25,15.616535,15.616535,0
2.9667,90,624.25,15.616535,15.616535,0
2.9792,90,624.25,15.616535,15.616535,0
